feature,SRC,abs_SRC,CI_low,CI_high,sign_stable
dhw_per_person,0.8190921536827808,0.8190921536827808,0.7047491924378845,0.9327313157308776,True
floor_num,-0.7615337363616942,0.7615337363616942,-0.9691804311598157,-0.6078942777171605,True
room_count,0.6956922170952088,0.6956922170952088,0.545928119551176,0.899908777592784,True
footprint_area_m2,-0.5268431938621109,0.5268431938621109,-0.6499415970593179,-0.41697780320085226,True
dhw_temp,0.1941996163830196,0.1941996163830196,0.10960644827916588,0.27814746620695374,True
boiler_eff,-0.13557529364371473,0.13557529364371473,-0.23158358285061037,-0.05188822172703611,True
orientation_cos,-0.1260309099925617,0.1260309099925617,-0.32998214632507,0.09090283878834997,False
orientation_sin,-0.11980142604228754,0.11980142604228754,-0.3028934246652406,0.08547654252591888,False
wwr,0.10646391505073913,0.10646391505073913,0.03316719269350369,0.18873930608135112,True
operation_hours,0.08086636364530135,0.08086636364530135,0.0030447311190124663,0.16283153181486265,True
aspect_ratio,0.07163104074208569,0.07163104074208569,0.0019753821240463096,0.1447966918752128,True
fresh_air_ach,0.06832068299376218,0.06832068299376218,-0.007960471145295285,0.14096505783582639,False
cop_heating,-0.062501931835758,0.062501931835758,-0.14039680079846192,0.016292518860036246,False
wall_thick,-0.04904873690659222,0.04904873690659222,-0.1171645839978454,0.029512367683628346,False
heat_set,0.04869078092225298,0.04869078092225298,-0.026511906447240295,0.12217787473103406,False
light_power,0.045474704927035044,0.045474704927035044,-0.030567345750439647,0.12017830742803218,False
floor_height,0.044782380482941746,0.044782380482941746,-0.022597523644712098,0.11659696954070925,False
public_area,-0.036062721257329164,0.036062721257329164,-0.10453384621199208,0.03290754959977373,False
u_win_n,0.02954060448689507,0.02954060448689507,-0.03409104921163558,0.09135497862991789,False
u_win_s,0.029243107334785867,0.029243107334785867,-0.0331204475330483,0.11232562393553694,False
roof_insul_thick,0.02408917572907318,0.02408917572907318,-0.04108463883848779,0.10423006001573629,False
occupancy_density,0.023323936910535033,0.023323936910535033,-0.05189411497700011,0.1004136358455909,False
equip_power,0.022117989949432107,0.022117989949432107,-0.06552070799032393,0.10302795933654944,False
u_win_e,-0.021393419136808374,0.021393419136808374,-0.09793363231495289,0.058376712900776534,False
shgc_w,-0.018202478776794883,0.018202478776794883,-0.10774669124084493,0.06558709568690678,False
window_type_2,-0.015479237261939735,0.015479237261939735,-0.09865822773508236,0.060646109113695466,False
u_ground,-0.014443213526529216,0.014443213526529216,-0.08020205312716526,0.06511754289946171,False
shgc_e,-0.014180610932275147,0.014180610932275147,-0.09590713453407951,0.06906805831133174,False
u_wall,-0.01322702472467593,0.01322702472467593,-0.09143814603580862,0.06688011232795911,False
u_win_w,-0.012262630778860532,0.012262630778860532,-0.07559466771456003,0.06196088782798454,False
window_type_3,0.011743962488569936,0.011743962488569936,-0.08202330167935093,0.09094914606081549,False
shgc_n,-0.00943437230161564,0.00943437230161564,-0.09555960776771723,0.06742956126338702,False
u_roof,-0.009383859992916684,0.009383859992916684,-0.08420638004643202,0.06991752083010842,False
cop_cooling,0.008295954683076704,0.008295954683076704,-0.06069796631043054,0.07801144595217137,False
fan_eff,-0.007161329339516612,0.007161329339516612,-0.07599938701433795,0.07672479056781696,False
insul_thick,-0.005240712270573048,0.005240712270573048,-0.0748464150292391,0.0671943417783127,False
cool_set,0.004129076368398564,0.004129076368398564,-0.06084351454556616,0.06715509747567666,False
shgc_s,-0.003676726824774395,0.003676726824774395,-0.08115687802634923,0.06843218886248421,False
room_area,-5.1536583448218466e-05,5.1536583448218466e-05,-0.07295737405995015,0.07380973003627553,False
