model,test_r2,test_rmse,test_mape,cv_r2_mean,cv_r2_std,cv_rmse_mean
Linear,0.9349769735587058,8.58837410459887,0.04260493342374868,0.902414708476571,0.04881955561003066,9.903550522542401
LassoCV,0.93480793863302,8.599530098049623,0.042640728688650036,0.9005520375604148,0.04634114067846585,10.056313761291069
RidgeCV,0.9344045875841219,8.626092234145585,0.042614134296880046,0.9024639742685554,0.050179375620372835,9.881588921803212
ElasticNetCV,0.9341431156007243,8.643267507303191,0.04264565062098475,0.9014104200088177,0.049760403948380216,9.944675647757188
LightGBM,0.7712285172112617,16.10936076679047,0.08001651991856153,0.5420131137845261,0.2091854417207537,21.793041304934825
RandomForest,0.7598471711294351,16.50521619789579,0.09398437292541018,0.6452810261965894,0.12093017655901454,19.32647980981174
XGBoost,0.7496942382939529,16.850499815843705,0.08720172592911125,0.6667459628334516,0.11398788372635836,18.708396872448734
GB,0.6969849273343907,18.539989334250237,0.09352182526463793,0.6646605743188487,0.10171016718942777,18.88337525365649
MLP,0.6446409771438615,20.07756485964089,0.13369175999929642,0.39222374526809867,0.21607385696264075,25.30896979721131
SVR-RBF,0.6009713968545953,21.275480534793424,0.10987376034599254,0.4558050968105999,0.01959067291639099,24.436964294626836
Poly3-RidgeCV,0.5632321251075407,22.258849234550677,0.12114111807164207,0.4712263880420102,0.13311883402140837,23.920624296963386
KNN,0.41856776025015763,25.68188628499092,0.1394032750503108,0.2010920727676921,0.14344159203023188,29.424809481818052
Poly2-RidgeCV,0.28750029498385854,28.429531867941854,0.1525896822408884,0.13711951625322844,0.27131568599146716,30.553680220374115
